"RegioS","Perioden","MediaanPersoonlijkInkomen_7","GemiddeldPersoonlijkInkomen_6"
"PV25  ","2017JJ00",6.6,10.6
"PV25  ","2018JJ00",6.9,11.1
"PV25  ","2019JJ00",7.2,11.7
"PV25  ","2020JJ00",7.8,12.4
"PV25  ","2021JJ00",8.4,13.1
"PV25  ","2022JJ00",9.3,14.2
"PV25  ","2023JJ00",10.7,15.7
"PV25  ","2024JJ00",12.7,17.4
"PV26  ","2011JJ00",6.9,10.6
"PV26  ","2012JJ00",6.7,10.4
"PV26  ","2013JJ00",6.4,10.1
"PV26  ","2014JJ00",6.4,9.9
"PV26  ","2015JJ00",6.5,10.1
"PV26  ","2016JJ00",6.4,10.2
"PV26  ","2017JJ00",6.4,10.4
"PV26  ","2018JJ00",6.6,10.9
"PV26  ","2019JJ00",6.8,11.4
"PV26  ","2020JJ00",7.2,12
"PV26  ","2021JJ00",7.7,12.5
"PV26  ","2022JJ00",8.3,13.5
"PV26  ","2023JJ00",9.6,14.8
"PV26  ","2024JJ00",11.4,16.4
"PV27  ","2011JJ00",7.1,10.6
"PV27  ","2012JJ00",7,10.5
"PV27  ","2013JJ00",6.8,10.3
"PV27  ","2014JJ00",6.7,10.2
"PV27  ","2015JJ00",7,10.4
"PV27  ","2016JJ00",7,10.6
"PV27  ","2017JJ00",7.1,10.9
"PV27  ","2018JJ00",7.3,11.4
"PV27  ","2019JJ00",7.6,12
"PV27  ","2020JJ00",7.8,12.4
"PV27  ","2021JJ00",8.3,12.9
"PV27  ","2022JJ00",9.3,14.1
"PV27  ","2023JJ00",10.5,15.5
"PV27  ","2024JJ00",12.2,17
"PV28  ","2011JJ00",7.1,11
"PV28  ","2012JJ00",6.9,10.7
"PV28  ","2013JJ00",6.6,10.5
"PV28  ","2014JJ00",6.5,10.3
"PV28  ","2015JJ00",6.6,10.4
"PV28  ","2016JJ00",6.6,10.5
"PV28  ","2017JJ00",6.8,10.9
"PV28  ","2018JJ00",7.1,11.4
"PV28  ","2019JJ00",7.4,12
"PV28  ","2020JJ00",7.8,12.5
"PV28  ","2021JJ00",8.3,13.1
"PV28  ","2022JJ00",9.1,14.1
"PV28  ","2023JJ00",10.3,15.5
"PV28  ","2024JJ00",11.9,17
"PV29  ","2011JJ00",7.7,11.8
"PV29  ","2012JJ00",7.6,11.7
"PV29  ","2013JJ00",7.4,11.6
"PV29  ","2014JJ00",7.4,11.6
"PV29  ","2015JJ00",7.5,11.6
"PV29  ","2016JJ00",7.5,11.7
"PV29  ","2017JJ00",7.8,12
"PV29  ","2018JJ00",8.2,12.7
"PV29  ","2019JJ00",8.9,13.5
"PV29  ","2020JJ00",9.6,14.3
"PV29  ","2021JJ00",10.3,15.1
"PV29  ","2022JJ00",11.6,16.4
"PV29  ","2023JJ00",13,18
"PV29  ","2024JJ00",15,19.7
"PV30  ","2011JJ00",7,10.7
"PV30  ","2012JJ00",6.8,10.5
"PV30  ","2013JJ00",6.7,10.4
"PV30  ","2014JJ00",6.7,10.3
"PV30  ","2015JJ00",6.8,10.4
"PV30  ","2016JJ00",6.8,10.6
"PV30  ","2017JJ00",7.1,11
"PV30  ","2018JJ00",7.4,11.6
"PV30  ","2019JJ00",7.8,12.2
"PV30  ","2020JJ00",8.3,12.8
"PV30  ","2021JJ00",8.8,13.5
"PV30  ","2022JJ00",9.8,14.7
"PV30  ","2023JJ00",11.4,16.2
"PV30  ","2024JJ00",13.1,17.9
"PV31  ","2011JJ00",6.4,9.9
"PV31  ","2012JJ00",6.4,9.8
"PV31  ","2013JJ00",6.3,9.7
"PV31  ","2014JJ00",6.3,9.7
"PV31  ","2015JJ00",6.4,9.8
"PV31  ","2016JJ00",6.5,10
"PV31  ","2017JJ00",6.7,10.5
"PV31  ","2018JJ00",7,11.1
"PV31  ","2019JJ00",7.4,11.6
"PV31  ","2020JJ00",7.8,12.1
"PV31  ","2021JJ00",8.3,12.7
"PV31  ","2022JJ00",9.3,13.9
"PV31  ","2023JJ00",10.8,15.4
"PV31  ","2024JJ00",12.5,17
"CR01  ","2011JJ00",6.9,10.1
"CR01  ","2012JJ00",6.7,9.8
"CR01  ","2013JJ00",6.6,9.7
"CR01  ","2014JJ00",6.5,9.6
"CR01  ","2015JJ00",6.3,9.5
"CR01  ","2016JJ00",6.2,9.5
"CR01  ","2017JJ00",6.5,10
"CR01  ","2018JJ00",6.9,10.6
"CR01  ","2019JJ00",7.6,11.5
"CR01  ","2020JJ00",8.4,11.8
"CR01  ","2021JJ00",9.2,13.2
"CR01  ","2022JJ00",10.3,14.5
"CR01  ","2023JJ00",12,16.2
"CR01  ","2024JJ00",13.7,18
"CR02  ","2011JJ00",6.3,9.9
"CR02  ","2012JJ00",6.3,9.8
"CR02  ","2013JJ00",6.2,9.6
"CR02  ","2014JJ00",6.1,9.5
"CR02  ","2015JJ00",6.2,9.7
"CR02  ","2016JJ00",5.8,9.5
"CR02  ","2017JJ00",5.8,10
"CR02  ","2018JJ00",6.5,10.7
"CR02  ","2019JJ00",7.3,11.4
"CR02  ","2020JJ00",7.8,12
"CR02  ","2021JJ00",8.7,13.2
"CR02  ","2022JJ00",9.5,14.4
"CR02  ","2023JJ00",10.9,15.5
"CR02  ","2024JJ00",12.7,17.3
"CR03  ","2011JJ00",6.2,8.9
"CR03  ","2012JJ00",6.1,8.8
"CR03  ","2013JJ00",6.1,8.7
"CR03  ","2014JJ00",6.1,8.6
"CR03  ","2015JJ00",6.2,8.8
"CR03  ","2016JJ00",6.3,9
"CR03  ","2017JJ00",6.3,9.2
"CR03  ","2018JJ00",6.4,9.6
"CR03  ","2019JJ00",6.6,10
"CR03  ","2020JJ00",7.1,10.8
"CR03  ","2021JJ00",7.6,11.3
"CR03  ","2022JJ00",8,12
"CR03  ","2023JJ00",9.4,13.4
"CR03  ","2024JJ00",11.6,15.1
"CR04  ","2011JJ00",7.1,10.2
"CR04  ","2012JJ00",6.9,9.9
"CR04  ","2013JJ00",6.6,9.6
"CR04  ","2014JJ00",6.6,9.6
"CR04  ","2015JJ00",6.8,9.7
"CR04  ","2016JJ00",6.8,9.9
"CR04  ","2017JJ00",7,10.3
"CR04  ","2018JJ00",7.3,10.8
"CR04  ","2019JJ00",7.6,11.4
"CR04  ","2020JJ00",8.1,11.9
"CR04  ","2021JJ00",8.7,12.6
"CR04  ","2022JJ00",9.6,13.8
"CR04  ","2023JJ00",11.1,15.3
"CR04  ","2024JJ00",13.1,17.1
"CR05  ","2011JJ00",6.6,10.1
"CR05  ","2012JJ00",6.5,10
"CR05  ","2013JJ00",6.3,9.8
"CR05  ","2014JJ00",6.2,9.8
"CR05  ","2015JJ00",6.2,9.8
"CR05  ","2016JJ00",6.2,9.9
"CR05  ","2017JJ00",6.4,10.1
"CR05  ","2018JJ00",6.7,10.7
"CR05  ","2019JJ00",7,11.3
"CR05  ","2020JJ00",7.6,12
"CR05  ","2021JJ00",8.1,12.6
"CR05  ","2022JJ00",9.2,13.9
"CR05  ","2023JJ00",10.5,15.2
"CR05  ","2024JJ00",12.5,17.1
"CR06  ","2011JJ00",6.6,10.1
"CR06  ","2012JJ00",6.4,9.7
"CR06  ","2013JJ00",6.3,9.7
"CR06  ","2014JJ00",6.2,9.6
"CR06  ","2015JJ00",6.3,9.7
"CR06  ","2016JJ00",6.2,9.8
"CR06  ","2017JJ00",6.3,10.1
"CR06  ","2018JJ00",6.6,10.5
"CR06  ","2019JJ00",7.2,11.2
"CR06  ","2020JJ00",7.9,12
"CR06  ","2021JJ00",8.6,12.7
"CR06  ","2022JJ00",9.4,13.9
"CR06  ","2023JJ00",10.7,15.3
"CR06  ","2024JJ00",12.4,16.9
"CR07  ","2011JJ00",5.5,8.9
"CR07  ","2012JJ00",5.4,8.7
"CR07  ","2013JJ00",5.2,8.6
"CR07  ","2014JJ00",5.2,8.5
"CR07  ","2015JJ00",5.3,8.6
"CR07  ","2016JJ00",5.2,8.7
"CR07  ","2017JJ00",5.3,9
"CR07  ","2018JJ00",5.7,9.6
"CR07  ","2019JJ00",6,10.2
"CR07  ","2020JJ00",6.6,10.8
"CR07  ","2021JJ00",7.3,11.6
"CR07  ","2022JJ00",8.1,12.7
"CR07  ","2023JJ00",9.6,14.2
"CR07  ","2024JJ00",11,15.9
"CR08  ","2011JJ00",6.8,10.1
"CR08  ","2012JJ00",6.6,9.9
"CR08  ","2013JJ00",6.4,9.8
"CR08  ","2014JJ00",6.2,9.7
"CR08  ","2015JJ00",6.3,9.7
"CR08  ","2016JJ00",6.2,9.8
"CR08  ","2017JJ00",6.3,10.1
"CR08  ","2018JJ00",6.7,10.7
"CR08  ","2019JJ00",7.6,11.7
"CR08  ","2020JJ00",8.1,12.4
"CR08  ","2021JJ00",9,13.2
"CR08  ","2022JJ00",10.4,14.8
"CR08  ","2023JJ00",12.1,16.4
"CR08  ","2024JJ00",13.9,18.3
"CR09  ","2011JJ00",7.3,10.8
"CR09  ","2012JJ00",7.2,10.5
"CR09  ","2013JJ00",6.8,10.1
"CR09  ","2014JJ00",6.6,10
"CR09  ","2015JJ00",6.7,10.1
"CR09  ","2016JJ00",6.5,10.1
"CR09  ","2017JJ00",6.6,10.5
"CR09  ","2018JJ00",7.2,11.1
"CR09  ","2019JJ00",7.7,11.7
"CR09  ","2020JJ00",8.5,12.5
"CR09  ","2021JJ00",9.3,13.5
"CR09  ","2022JJ00",10.5,15
"CR09  ","2023JJ00",12.2,16.7
"CR09  ","2024JJ00",14.2,18.4
"CR10  ","2011JJ00",7.8,11.3
"CR10  ","2012JJ00",7.5,11
"CR10  ","2013JJ00",7.3,10.8
"CR10  ","2014JJ00",7.2,10.7
"CR10  ","2015JJ00",7.4,10.8
"CR10  ","2016JJ00",7.2,10.9
"CR10  ","2017JJ00",7.4,11.2
"CR10  ","2018JJ00",7.7,11.7
"CR10  ","2019JJ00",8,12.2
"CR10  ","2020JJ00",8.7,12.9
"CR10  ","2021JJ00",9.2,13.6
"CR10  ","2022JJ00",10.1,14.8
"CR10  ","2023JJ00",11.7,16.4
"CR10  ","2024JJ00",13.9,18.3
"CR11  ","2011JJ00",7,10.4
"CR11  ","2012JJ00",6.7,10.1
"CR11  ","2013JJ00",6.5,9.8
"CR11  ","2014JJ00",6.4,9.6
"CR11  ","2015JJ00",6.3,9.6
"CR11  ","2016JJ00",6.4,10
"CR11  ","2017JJ00",6.6,10.3
"CR11  ","2018JJ00",6.9,10.9
"CR11  ","2019JJ00",7.2,11.3
"CR11  ","2020JJ00",7.8,12
"CR11  ","2021JJ00",8.4,12.8
"CR11  ","2022JJ00",9.3,13.9
"CR11  ","2023JJ00",10.7,15.3
"CR11  ","2024JJ00",12.6,17.3
"CR12  ","2011JJ00",6.9,10.3
"CR12  ","2012JJ00",6.7,10.1
"CR12  ","2013JJ00",6.3,9.8
"CR12  ","2014JJ00",6.2,9.6
"CR12  ","2015JJ00",6.3,9.7
"CR12  ","2016JJ00",6.2,9.8
"CR12  ","2017JJ00",6.3,10.1
"CR12  ","2018JJ00",6.7,10.6
"CR12  ","2019JJ00",7,11.1
"CR12  ","2020JJ00",7.4,11.7
"CR12  ","2021JJ00",8.1,12.4
"CR12  ","2022JJ00",9,13.5
"CR12  ","2023JJ00",10.5,15.1
"CR12  ","2024JJ00",12.4,16.9
"CR13  ","2011JJ00",7.6,11.5
"CR13  ","2012JJ00",7.3,11.2
"CR13  ","2013JJ00",7.1,10.9
"CR13  ","2014JJ00",6.8,10.7
"CR13  ","2015JJ00",6.9,10.9
"CR13  ","2016JJ00",6.9,11
"CR13  ","2017JJ00",7,11.3
"CR13  ","2018JJ00",7.3,11.9
"CR13  ","2019JJ00",7.8,12.6
"CR13  ","2020JJ00",8.4,13.2
"CR13  ","2021JJ00",9,13.9
"CR13  ","2022JJ00",9.9,15
"CR13  ","2023JJ00",11.4,16.6
"CR13  ","2024JJ00",13.1,18.2
"CR14  ","2011JJ00",6.3,10.2
"CR14  ","2012JJ00",6.2,9.9
"CR14  ","2013JJ00",6.1,9.7
"CR14  ","2014JJ00",6,9.6
"CR14  ","2015JJ00",6.1,9.7
"CR14  ","2016JJ00",6,9.8
"CR14  ","2017JJ00",6.1,10.1
"CR14  ","2018JJ00",6.4,10.5
"CR14  ","2019JJ00",6.8,11
"CR14  ","2020JJ00",7.4,11.7
"CR14  ","2021JJ00",8.1,12.5
"CR14  ","2022JJ00",9.3,13.9
"CR14  ","2023JJ00",10.7,15.4
"CR14  ","2024JJ00",12.7,17.4
"CR15  ","2011JJ00",6.3,9.6
"CR15  ","2012JJ00",6.2,9.4
"CR15  ","2013JJ00",6.1,9.2
"CR15  ","2014JJ00",6.1,9.1
"CR15  ","2015JJ00",6.2,9.3
"CR15  ","2016JJ00",6.2,9.4
"CR15  ","2017JJ00",6.3,9.7
"CR15  ","2018JJ00",6.5,10.2
"CR15  ","2019JJ00",6.6,10.7
"CR15  ","2020JJ00",7.2,11.4
"CR15  ","2021JJ00",7.7,12
"CR15  ","2022JJ00",8.4,13
"CR15  ","2023JJ00",9.7,14.4
"CR15  ","2024JJ00",11.8,16
"CR16  ","2011JJ00",8,12
"CR16  ","2012JJ00",7.9,11.9
"CR16  ","2013JJ00",7.6,11.6
"CR16  ","2014JJ00",7.4,11.4
"CR16  ","2015JJ00",7.3,11.5
"CR16  ","2016JJ00",7.3,11.6
"CR16  ","2017JJ00",7.6,12
"CR16  ","2018JJ00",8.1,12.6
"CR16  ","2019JJ00",8.6,13.3
"CR16  ","2020JJ00",9.5,14.2
"CR16  ","2021JJ00",10.3,15
"CR16  ","2022JJ00",11.3,16.3
"CR16  ","2023JJ00",12.9,17.9
"CR16  ","2024JJ00",15.1,19.9
"CR17  ","2011JJ00",6.9,10.6
"CR17  ","2012JJ00",6.7,10.4
"CR17  ","2013JJ00",6.4,10.1
"CR17  ","2014JJ00",6.4,9.9
"CR17  ","2015JJ00",6.5,10.1
"CR17  ","2016JJ00",6.4,10.2
"CR17  ","2017JJ00",6.4,10.4
"CR17  ","2018JJ00",6.6,10.9
"CR17  ","2019JJ00",6.8,11.4
"CR17  ","2020JJ00",7.2,12
"CR17  ","2021JJ00",7.7,12.5
"CR17  ","2022JJ00",8.3,13.5
"CR17  ","2023JJ00",9.6,14.8
"CR17  ","2024JJ00",11.4,16.4
"CR18  ","2011JJ00",7.9,11.6
"CR18  ","2012JJ00",7.6,11.3
"CR18  ","2013JJ00",7.2,11
"CR18  ","2014JJ00",7.2,10.9
"CR18  ","2015JJ00",7.3,11
"CR18  ","2016JJ00",7.2,11.2
"CR18  ","2017JJ00",7.4,11.5
"CR18  ","2018JJ00",7.8,12.1
"CR18  ","2019JJ00",8.3,12.8
"CR18  ","2020JJ00",9.1,13.4
"CR18  ","2021JJ00",9.6,14.1
"CR18  ","2022JJ00",10.8,15.5
"CR18  ","2023JJ00",12.6,17.2
"CR18  ","2024JJ00",14.4,19
"CR19  ","2011JJ00",7.3,11.1
"CR19  ","2012JJ00",7.2,11
"CR19  ","2013JJ00",6.8,10.6
"CR19  ","2014JJ00",6.7,10.5
"CR19  ","2015JJ00",6.8,10.5
"CR19  ","2016JJ00",6.8,10.6
"CR19  ","2017JJ00",6.9,10.9
"CR19  ","2018JJ00",7.1,11.2
"CR19  ","2019JJ00",7.6,11.9
"CR19  ","2020JJ00",7.8,12.3
"CR19  ","2021JJ00",8.3,12.9
"CR19  ","2022JJ00",9.4,14.2
"CR19  ","2023JJ00",11.1,15.7
"CR19  ","2024JJ00",13,17.6
"CR20  ","2011JJ00",7.4,11.3
"CR20  ","2012JJ00",7.3,11.1
"CR20  ","2013JJ00",7,10.9
"CR20  ","2014JJ00",6.9,10.8
"CR20  ","2015JJ00",6.9,10.9
"CR20  ","2016JJ00",6.7,10.8
"CR20  ","2017JJ00",7,11.1
"CR20  ","2018JJ00",7.3,11.6
"CR20  ","2019JJ00",7.8,12.4
"CR20  ","2020JJ00",8.2,12.9
"CR20  ","2021JJ00",8.6,13.4
"CR20  ","2022JJ00",9.8,14.6
"CR20  ","2023JJ00",11.1,16.1
"CR20  ","2024JJ00",12.8,17.8
"CR21  ","2011JJ00",6.9,10.3
"CR21  ","2012JJ00",6.7,10.2
"CR21  ","2013JJ00",6.5,9.9
"CR21  ","2014JJ00",6.3,9.8
"CR21  ","2015JJ00",6.7,10.1
"CR21  ","2016JJ00",6.4,10.1
"CR21  ","2017JJ00",6.4,10.2
"CR21  ","2018JJ00",6.4,10.5
"CR21  ","2019JJ00",6.3,10.8
"CR21  ","2020JJ00",6.3,11
"CR21  ","2021JJ00",6.6,11.3
"CR21  ","2022JJ00",7.5,12.3
"CR21  ","2023JJ00",8.1,13.2
"CR21  ","2024JJ00",9.7,14.8
"CR22  ","2011JJ00",7.6,11.2
"CR22  ","2012JJ00",7.5,11
